"year","borough","neighborhood_u_h_f","sex","race_ethnicity","total_number_of_hiv_diagnoses","hiv_diagnoses_per_100_000_population","total_number_of_concurrent_hiv_aids_diagnoses","proportion_of_concurrent_hiv_aids_diagnoses_among_all_hiv_diagnoses","total_number_of_aids_diagnoses","aids_diagnoses_per_100_000_population","uhf_label"
2016,"Bronx","Crotona - Tremont","All","All",87,50.5,16,18.4,65,37.7,105
2016,"Bronx","Crotona - Tremont","All","Asian/Pacific
Islander",0,0,0,NA,1,32,105
2016,"Bronx","Crotona - Tremont","All","Black",36,74.5,7,19.4,23,47.6,105
2016,"Bronx","Crotona - Tremont","All","Latino/Hispanic",48,41.2,9,18.8,38,32.6,105
2016,"Bronx","Crotona - Tremont","All","Other/Unknown",0,0,0,NA,1,84.8,105
2016,"Bronx","Crotona - Tremont","All","White",3,94.5,0,0,2,63,105
2016,"Bronx","Crotona - Tremont","Female","All",26,27.9,2,7.7,23,24.7,105
2016,"Bronx","Crotona - Tremont","Female","Asian/Pacific
Islander",0,0,0,NA,1,63.3,105
2016,"Bronx","Crotona - Tremont","Female","Black",10,38.7,0,0,10,38.7,105
2016,"Bronx","Crotona - Tremont","Female","Latino/Hispanic",14,22,2,14.3,12,18.9,105
2016,"Bronx","Crotona - Tremont","Female","Other/Unknown",0,0,0,NA,0,0,105
2016,"Bronx","Crotona - Tremont","Female","White",2,130.6,0,0,0,0,105
2016,"Bronx","Crotona - Tremont","Male","All",61,77.1,14,23,42,53.1,105
2016,"Bronx","Crotona - Tremont","Male","Asian/Pacific
Islander",0,0,0,NA,0,0,105
2016,"Bronx","Crotona - Tremont","Male","Black",26,115.7,7,26.9,13,57.9,105
2016,"Bronx","Crotona - Tremont","Male","Latino/Hispanic",34,64.3,7,20.6,26,49.1,105
2016,"Bronx","Crotona - Tremont","Male","Other/Unknown",0,0,0,NA,1,191.4,105
2016,"Bronx","Crotona - Tremont","Male","White",1,60.9,0,0,2,121.8,105
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","All","All",170,60.1,36,21.2,96,33.9,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","All","Asian/Pacific
Islander",5,49.9,0,0,0,0,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","All","Black",128,73.3,30,23.4,83,47.6,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","All","Latino/Hispanic",25,66.7,4,16,11,29.4,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","All","Other/Unknown",4,80.4,1,25,1,20.1,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","All","White",8,14.3,1,12.5,1,1.8,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Female","All",34,21.7,9,26.5,28,17.8,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Female","Black",31,31.1,8,25.8,25,25.1,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Female","Latino/Hispanic",3,14.4,1,33.3,3,14.4,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Female","Other/Unknown",0,0,0,NA,0,0,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Female","White",0,0,0,NA,0,0,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Male","All",136,108,27,19.9,68,54,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Male","Asian/Pacific
Islander",5,110.6,0,0,0,0,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Male","Black",97,129.7,22,22.7,58,77.5,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Male","Latino/Hispanic",22,131.8,3,13.6,8,47.9,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Male","Other/Unknown",4,201,1,25,1,50.2,203
2016,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Male","White",8,28.7,1,12.5,1,3.6,203
2016,"Brooklyn","Bensonhurst - Bay
Ridge","All","All",13,7.5,2,15.4,11,6.3,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","All","Asian/Pacific
Islander",5,10,2,40,4,8,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","All","Black",2,59.9,0,0,1,29.9,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","All","Latino/Hispanic",1,3.7,0,0,1,3.7,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","All","Other/Unknown",0,0,0,NA,0,0,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","All","White",5,5.5,0,0,5,5.5,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Female","All",1,1.1,0,0,2,2.2,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Female","Asian/Pacific
Islander",1,3.8,0,0,0,0,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Female","Black",0,0,0,NA,0,0,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Female","Latino/Hispanic",0,0,0,NA,0,0,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Female","Other/Unknown",0,0,0,NA,0,0,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Female","White",0,0,0,NA,2,4.2,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Male","All",12,14.4,2,16.7,9,10.8,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Male","Asian/Pacific
Islander",4,16.5,2,50,4,16.5,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Male","Black",2,118.8,0,0,1,59.4,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Male","Latino/Hispanic",1,7.1,0,0,1,7.1,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Male","Other/Unknown",0,0,0,NA,0,0,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Male","White",5,11.8,0,0,3,7.1,209
2016,"Brooklyn","Borough Park","All","All",19,7.6,7,36.8,13,5.2,206
2016,"Brooklyn","Borough Park","All","Asian/Pacific
Islander",4,6.7,2,50,3,5,206
2016,"Brooklyn","Borough Park","All","Black",3,25.8,1,33.3,2,17.2,206
2016,"Brooklyn","Borough Park","All","Latino/Hispanic",4,11.9,2,50,5,14.9,206
2016,"Brooklyn","Borough Park","All","Other/Unknown",0,0,0,NA,0,0,206
2016,"Brooklyn","Borough Park","All","White",8,5.6,2,25,3,2.1,206
2016,"Brooklyn","Borough Park","Female","All",2,1.6,2,100,3,2.3,206
2016,"Brooklyn","Borough Park","Female","Asian/Pacific
Islander",1,3.4,1,100,1,3.4,206
2016,"Brooklyn","Borough Park","Female","Black",0,0,0,NA,1,15.6,206
2016,"Brooklyn","Borough Park","Female","Latino/Hispanic",1,6.3,1,100,1,6.3,206
2016,"Brooklyn","Borough Park","Female","Other/Unknown",0,0,0,NA,0,0,206
2016,"Brooklyn","Borough Park","Female","White",0,0,0,NA,0,0,206
2016,"Brooklyn","Borough Park","Male","All",17,13.9,5,29.4,10,8.2,206
2016,"Brooklyn","Borough Park","Male","Asian/Pacific
Islander",3,10.1,1,33.3,2,6.7,206
2016,"Brooklyn","Borough Park","Male","Black",3,57.7,1,33.3,1,19.2,206
2016,"Brooklyn","Borough Park","Male","Latino/Hispanic",3,17.1,1,33.3,4,22.8,206
2016,"Brooklyn","Borough Park","Male","Other/Unknown",0,0,0,NA,0,0,206
