UHF Label,UHF Neighborhood,Borough
101,Kingsbridge - Riverdale,Bronx
102,Northeast ,Bronx
103,Fordham - Bronx Park,Bronx
104,Pelham -Throgs Neck,Bronx
105,Crotona - Tremont,Bronx
106,High Bridge - Morrisania,Bronx
107,Hunts Point - Mott Haven,Bronx
201,Greenpoint,Brooklyn
202,"Downtown - Heights -
Park Slope",Brooklyn
203,"Bedford Stuyvesant -
Crown Heights",Brooklyn
204,East New York,Brooklyn
205,Sunset Park,Brooklyn
206,Borough Park,Brooklyn
207,"East Flatbush -
Flatbush",Brooklyn
208,Canarsie - Flatlands,Brooklyn
209,"Bensonhurst - Bay
Ridge",Brooklyn
210,"Coney Island -
Sheepshead Bay",Brooklyn
211,"Williamsburg -
Bushwick",Brooklyn
301,"Washington Heights -
Inwood",Manhattan
302,"Central Harlem -
Morningside Heights",Manhattan
303,East Harlem,Manhattan
304,Upper West Side,Manhattan
305,Upper East Side,Manhattan
306,Chelsea - Clinton,Manhattan
307,"Gramercy Park -
Murray Hill",Manhattan
308,"Greenwich Village -
Soho",Manhattan
309,"Union Square -
Lower East Side",Manhattan
310,Lower Manhattan,Manhattan
401,"Long Island City -
Astoria",Queens
402,West Queens,Queens
403,Flushing - Clearview,Queens
404,Bayside - Little Neck,Queens
405,"Ridgewood - Forest
Hills",Queens
406,Fresh Meadows,Queens
407,Southwest Queens,Queens
408,Jamaica,Queens
409,Southeast Queens,Queens
410,Rockaway,Queens
501,Port Richmond,"Staten
Island"
502,"Stapleton - St.
George","Staten
Island"
503,Willowbrook,"Staten
Island"
